,idx,zh,en,mutated
62,62,兰卡斯特有一行 5 个数字都与中奖号码匹配，为他赢得了 163634 美元的奖金，而其余行 4 个数字与各自中奖的号码匹配为他赢得了 250 美元的奖金。,"Lancaster had a line with all 5 numbers matching the winning numbers, winning him a prize of $163,634, and the other lines with 4 numbers each matching their respective winning numbers, earning him $250 each.","Lancaster have a line with all 5 numbers match the winning numbers, win him a prize of $163,634, and the other lines with 4 numbers each match their respective winning numbers, earn him $250 each."
63,63,自年初以来，液化天然气投资已达 500 亿美元，创历史最高水平，国际能源署署长法提赫·比罗尔在一次行业大会上说道。,"Since the beginning of the year, liquefied natural gas investments have reached $500 billion, reaching a historic high, said Fatih Birol, the Executive Director of the International Energy Agency, at an industry conference.","Since the beginnings of the year, liquified natural gas investments have reached $500 billion, reaching a historic high, sayed Fatih Birol, the Executive Director of the International Energy Agency, at an industry conference."
64,64,这位赤身露体的购物者的身份仍不得而知，但看起来在即兴上演了这场脱衣表演后，店家允许她离店了。,"The identity of the naked shopper is still unknown, but it seems that after spontaneously performing this striptease, the store allowed her to leave.","The identity of the naked shopper was still unknown, but it seemed that after spontaneously performed this striptease, the store allows her to leave."
65,65,这就是这艘令人惊奇的考察船将要做的事，找出事实，寻求科学之法，以处理当今世界面临的问题，未来将有越来越多的人去这样做。,"That's what this amazing research ship is set to do, uncover facts, seek scientific solutions to address the challenges facing the world today, and more people will do the same in the future.","That's what this amazing research ship are set to does, uncovering facts, seeks scientific solutions to addresses the challenges facing the world today, and more people will does the same in the future."
66,66,他星期四说，博物馆将建立在维迪亚萨加位于巴杜尔巴甘地区的住所内，将展出照片和模型，这些照片和模型记录了维迪亚萨加的一生，覆盖从出生在帕斯奇姆麦地尼普尔区比尔辛格普尔村到搬迁至加尔各答北部居所的各个时期。,"He said on Thursday that the museum will be established at Vidyasagar's residence in Bardhaman district, showcasing photos and models that document Vidyasagar's life, spanning from his birth in Paschim Medinipur district's Birsingha village to his relocation to a northern residence in Kolkata.","He say on Thursday that the museum will be establish at Vidyasagar's residence in Bardhaman district, showcase photos and models that documents Vidyasagar's life, span from his birth in Paschim Medinipur district's Birsingha village to his relocation to a northern residence in Kolkata."
67,67,航空监管机构表示，在星期一启动的和平时期最大规模的遣返行动“马特宏恩计划”中，已经接回了超过 40% 的乘客。,"Aviation regulatory authorities stated that in the largest peacetime repatriation operation ""Operation Matterhorn"" launched on Monday, over 40% of passengers have already been brought back.","Aviation regulatory authorities state that in the largest peacetime repatriation operation ""Operation Matterhorn"" launched on Monday, over 40% of passengers has already been brought back."
68,68,启动旅游业是穆罕默德·本·萨勒曼王储 2030 年愿景改革计划的核心内容之一，该计划旨在为后石油时代发展最大阿拉伯经济体做好准备。,"Launching the tourism industry is one of the core components of Crown Prince Mohammed bin Salman's Vision 2030 reform plan, aiming to prepare the largest Arab economy for a post-oil era.","Launchs the tourism industry is one of the core component of Crown Prince Mohammed bin Salman's Vision 2030 reform plan, aim to prepares the largest Arab economy for a post-oil era."
69,69,“他们大笑着跑开以后，我只是坐在那里。”阿玛丽说道。,"Afterward, I just sat there, Amari said.","Afterwards, I just sits there, Amaris said."
70,70,一名北卡罗莱纳男子在同一次彩票抽奖中抽中五次,A dude from North Carolina hit the jackpot – five times in one lottery drawing!,A dudes from North Carolina hits the jackpots - five times in one lottery drawings!
71,71,警察说，他强行进入并绑住卡西迪。几分钟后，当她的家人回来时，哈斯克尔把他们绑起来，要求说出前妻的下落。他们说他们不知道，他们都是后脑勺中枪。,"Cops said he busted in, tied up Cassidy. A few minutes later, when her fam rolled in, Haskell roped them too, demanding to spill the beans about his ex. They claimed ignorance, each with a gun to the back of the head.","Cops say he busts in, tied up Cassidy. A few minutes later, when her fam roll in, Haskell ropes them too, demanding to spill the beans about his ex. They claim ignorance, each with a gun to the back of the head."
72,72,“我希望观众看电影时候能更加放松，”地标影院董事长兼首席执行官泰德·蒙多夫告诉好莱坞的记者。,"I just want folks in the audience to kick back and enjoy the flick, shared Ted Mundorf, the big cheese at Landmark Theatres, with the Hollywood crew.","I just wants folks in the audience to kicks back and enjoys the flick, shares Ted Mundorf, the big cheeses at Landmark Theatres, with the Hollywood crews."
73,73,照片墙的测试始于加拿大，随后扩展到了澳大利亚、巴西和其他几个主要用户市场。,"The photo wall trial kicked off up north in Canada, then spread its wings to Australia, Brazil, and a bunch of other user hotspots.","The photo wall trials kick off up northing in Canada, then spreads its wings to Australia, Brazil, and a bunch of other user hotspots."
74,74,工党高级议员伊维特·库珀的女儿埃莉·库珀在推特上发布了一条快速传播的帖子，描写她在考克斯被谋杀后对母亲的担忧。埃莉·库珀指责约翰逊“用言论煽动对议员的暴力。”,"Yvette Cooper's daughter, Ellie Cooper, dropped a tweet that went viral, sharing her worries about her mom after Cox's murder. Ellie pointed fingers at Johnson for ""stirring up violence against MPs"" on Twitter.","Yvette Cooper's daughter, Ellie Cooper, drop a tweet that goes viral, sharing her worries about her mom after Cox's murder. Ellie point fingers at Johnson for ""stir up violence against MPs"" on Twitter."
75,75,禁止面具与假枪多出于实际的安全考虑，但随着《小丑》的上映日渐临近，人们担心它会引发模仿枪击事件。洛杉矶警察局表示，在首映当天，警察会在影院周边“严阵以待”，而全美第二大连锁院线帝王影院则表示，正在实施“与北约合作”开发的安保措施。,"The ban on masks and toy guns is mostly about keeping things safe, but as ""Joker"" hits theaters, folks are worried it might spark imitations of shooting incidents. LAPD is gearing up big time around cinemas on premiere day, and the second-biggest movie chain in the U.S., Emperor Cinemas, says they've got security measures in place ""in cahoots with NATO.""","The ban on masks and toy guns was mostly about keeping things safe, but as ""Joker"" hit theaters, folks was worried it might spark imitation of shooting incidents. LAPD are gearing up big time around cinemas on premiere day, and the second-biggest movie chain in the U.S., Emperor Cinemas, say they've got security measures in place ""in cahoots with NATO."""
76,76,学校对三名学生进行了正式处罚，并亲自对该足球队的行为展开调查。,The school dropped the hammer on three students and kicked off an inquiry into the soccer team's antics.,The school drop the hammer on three students and kick off an inquiry into the soccer team antics.
77,77,又有 15 名税务高官因贪污而退休,"Another 15 big shots in the tax department called it quits from the government, courtesy of corruption.","Another 15 big shots in the tax department call it quit from the government, courtesy of corruption."
78,78,该男子大约在上午 9:30 到达工作单位，在此之前，他未能回复同事发来的几条信息和打来的电话。,"Dude rolled into work around 9:30 AM, ignoring a bunch of messages and calls from colleagues earlier.","Dude roll into work around 9:30 AM, ignore a bunch of messages and calls from colleagues earlier."
79,79,他说，他已经得到现任警长理查德·刘易斯的保证，一旦他意识到这些失误，就会立即采取“迅速行动”。,"He mentioned getting the nod from the current sheriff, Richard Lewis, assuring him that they'll move fast once they catch wind of these screw-ups.","He mentioned gets the nod from the current sheriff, Richard Lewis, assures him that they'll moves fast once they catch wind of these screw-ups."
80,80,肉桂由肉桂树的内皮制成，是一种广受欢迎的调料，是各种食品的调味剂，甚至本身已成为一种独特风味。,"Cinnamon is made from the inner bark of the cinnamon tree. It's a widely loved spice, used to flavor various foods, and has become a unique taste in itself.","Cinnamons is made from the inner bark of the cinnamon trees. It are a widely loves spice, used to flavor various foods, and have become a unique taste in itselfs."
81,81,感染该病毒的患者中有不到 1％ 会罹患危险的脑膜炎或脑炎。,Less than 1% of patients infected with the virus will suffer from dangerous meningitis or encephalitis.,Less than 1% of patients infected with the virus will suffers from dangerous meningitis or encephalitis.
82,82,"谷歌在“我们的故事”页面上写道：“对更好答案的不懈搜索仍然是我们所做一切的核心”。“如今，谷歌在 50 个不同国家拥有超过 60,000 名员工，从油管、安卓到心意宝，当然还有谷歌搜索，开发出数百种产品，供全球数十亿人使用 。尽管我们抛弃了乐高服务器，公司只增加了几只狗，但我们对为每个人打造技术的热情一直伴随着我们——从宿舍到车库，直到今天。","Google wrote on its ""Our Story"" page: ""Relentless search for better answers remains at the core of everything we do."" Today, Google has over 60,000 employees in more than 50 different countries, developing hundreds of products, from YouTube and Android to Google Search, used by billions worldwide. Even though we've left the Lego servers behind and added only a few dogs, our passion for crafting technology for everyone has been with us—from dorm rooms to garages, and to this day.","Google write on its ""Our Story"" page: ""Relentless search for better answers remain at the core of everything we doing."" Today, Google have over 60,000 employees in more than 50 different countries, develop hundreds of products, from YouTube and Android to Google Search, use by billions worldwide. Even though we leave the Lego servers behind and add only a few dogs, our passion for craft technology for everyone have been with us—from dorm rooms to garages, and to this day."
83,83,但我们确信它值得等待。,But we're confident it's worth the wait.,But we confident it's worth the waits.
84,84,“就像我刚洗完澡一样。但是我认为情况应该不会太糟，因为室内有空调。”,"Just like I've taken a shower. But I think it shouldn't be too bad, since there's air conditioning indoors.","Just like I took a shower. But I thinks it shouldn't be too bad, since there's air conditioning indoor."
85,85,克雷格说道，“站在我的立场，我一直不愿意仅从我希望受到约束的角度去推动调查，我想看看正当程序，并希望确保我们掌握了所有事实——这个程序将使我们能够做到这一点，”她还补充道，她支持由众议院情报委员会牵头的一项小范围调查。,"Craig said, ""From my position, I've been unwilling to push the investigation only from the perspective I hope to be constrained. I want to see due process and ensure we have all the facts—this process will enable us to do that,"" she added, expressing support for a narrow investigation led by the House Intelligence Committee.","Craig say, ""From my position, I'm being unwilling to pushing the investigation only from the perspective I hope to be constraint. I wants to see due process and ensures we has all the facts—this process will enables us to do that,"" she adds, express support for a narrow investigation leads by the House Intelligence Committee."
86,86,有趣的是，在 z66OD 的 12 个星系中，有一个是在 2009 年通过斯巴鲁望远镜发现的大型星系卑弥呼，其中包含了大量气体。卑弥呼星系发现者日本国家天文台和东京大学的团队成员长泽正美提到：“在卑弥呼这样的大质量天体附近是有可能发现原星团的。然而，我们惊讶的是，卑弥呼并不是位于原星系团的中心，而是在距离中心 5 亿光年的边缘上”。讽刺的是，神话中的皇后卑弥呼据说也是过着与世隔绝的生活。正美继续谈到：“目前尚不清楚为什么卑弥呼不在中间位置。但是这些结果将是了解星系团和大质量星系之间关系的重要信息。”,"Interestingly, among the 12 galaxies in z66OD, one is a large galaxy named Himiko discovered in 2009 through the Subaru Telescope, containing a significant amount of gas. Himiko's discoverer, Masami Ouchi, a team member from the National Astronomical Observatory of Japan and the University of Tokyo, mentioned, ""It's possible to find original star clusters near massive celestial bodies like Himiko. However, what surprises us is that Himiko is not at the center of the original galaxy cluster but on the edge, 500 million light-years away from the center."" Ironically, the mythical queen Himiko is said to have lived an isolated life. Ouchi continued, ""Currently, it's unclear why Himiko isn't in the central position. But these results will be crucial information to understand the relationship between galaxy clusters and massive galaxies.""","Interestingly, among the 12 galaxies in z66OD, one was a large galaxy named Himiko discovered in 2009 through the Subaru Telescope, containing a significant amount of gas. Himiko's discoverer, Masami Ouchi, a team member from the National Astronomical Observatory of Japan and the University of Tokyo, mentions, ""It's possible to find original star clusters near massive celestial bodies like Himiko. However, what surprise us is that Himiko is not at the center of the original galaxy cluster but on the edge, 500 million light-years away from the center."" Ironically, the mythical queen Himiko are said to has live an isolated life. Ouchi continuous, ""Currently, it's unclear why Himiko isn't in the central position. But these results will be crucial information to understand the relationship between galaxy clusters and massive galaxies."""
87,87,二十年后，世界仍然没能摆脱地雷的威胁。哈里王子引爆了一个最新探测到的地雷，响亮而清晰地回应了母亲的遗志。,"Twenty years later, the world still hasn't shaken off the threat of landmines. Prince Harry detonated a newly detected landmine, responding loudly and clearly to his mother's legacy.","Twenty years later, the world still haven't shaken off the threat of landmines. Prince Harry detonate a newly detected landmine, respond loudly and clearly to his mother's legacy."
88,88,法国当局发出警告，大火被扑灭后会散发出一种特别的气味，这些气味可能会蔓延到邻近地区。,"French authorities issued a warning that after the fire is extinguished, it will emit a distinct odor that may spread to nearby areas.","French authorities issued a warning that after the fire was extinguish, it will emit a distinct odors that may spreads to nearby area."
89,89,今年特纳奖入围作品将从明天起在马盖特展出，英国脱欧也将提上议事日程。,"This year's Turner Prize-nominated works will be exhibited at the Tate from tomorrow, and Brexit will also be on the agenda.","This year's Turner Prize-nominated works was exhibited at the Tate from tomorrow, and Brexit were also on the agenda."
90,90,这位悲伤的父亲说道，他不知道谁会想要伤害他的儿子，也仍不知道他儿子被枪杀时车内还有谁。,The grieving father said he doesn't know who would want to harm his son and still doesn't know who else was in the car when his son was shot.,The grieving father says he don't know who want to harm his son and still don't know who else were in the car when his son was shot.
91,91,社会学家和研究这一群体的其他学者认为，“非自愿独身者”已逐渐成为激怒某些男性的流行语，这些男性因遭到女性的拒绝而愤怒，并倾向于产生暴力报复的想法。,"Sociologists and other scholars studying this group believe that ""involuntary celibates"" has gradually become a buzzword that infuriates some men, who, rejected by women, tend to harbor thoughts of violent retaliation.","Sociologists and other scholars studying this group believes that ""involuntary celibates"" have gradually become a buzzword that infuriate some men, who, reject by women, tends to harbor thoughts of violent retaliations."
92,92,伊朗总统哈桑·鲁哈尼星期五声称，美国提议取消对伊朗的所有制裁以换取谈判，此番言论导致石油价格下跌。唐纳德·特朗普总统和美国国务院后来否认了这些说法，导致油价从低点反弹。,"Iranian President Hassan Rouhani claimed on Friday that the U.S. proposed lifting all sanctions on Iran in exchange for talks, causing oil prices to drop. President Donald Trump and the U.S. State Department later denied these claims, leading to a rebound in oil prices from their lows.","Iranian President Hassan Rouhani claim on Friday that the U.S. proposes lifting all sanctions on Iran in exchange for talks, causes oil prices to drop. President Donald Trump and the U.S. State Department later denied these claim, leads to a rebound in oil prices from their lows."
93,93,但这更像是一场足球比赛，一方有 27 名球员排队防守，而对方球员则试图捡起球回家。,"But it's more like a football game, one side with 27 players queuing up to defend, while the other players are trying to pick up the ball and take it home.","But it be more like a football game, one side with 27 players queues up to defending, while the other players is trying to pick up the ball and takes it home."
94,94,“我坚信【特洛査尼】是欧盟委员会委员最合适的人选，”奥尔班说道。“非要说他有罪，那就是他帮助政府和我...保护匈牙利免受移民侵扰。”,"I firmly believe Trocsányi is the most suitable candidate for the position of EU Commissioner, Orban said. ""If you insist he's guilty, it's for helping the government and me... protect Hungary from immigration disturbance.""","I firmly believes Trocsányi are the most suitable candidates for the positions of EU Commissioner, Orban said. ""If you insist he's guilties, it's for helps the governments and mes... protects Hungary from immigration disturbances."""
95,95,2016 年奥运冠军、铅球运动员瑞安·克劳斯表示，他每次都得把铅球加热到 38 摄氏度左右，以防在高温高湿环境下训练时铅球变得潮湿。,"Ryan Crouser, the 2016 Olympic champion and shot put athlete, said he has to heat the shot put to around 38 degrees Celsius each time to prevent it from getting damp during training in hot and humid conditions.","Ryan Crouser, the 2016 Olympic champion and shot put athlete, said he have to heat the shot puts to around 38 degrees Celsius each time to prevent it from got damp during trainings in hot and humid conditions."
96,96,世界各地的学校罢课走上街头要求采取气候行动,Schools around the world are going on strike and taking to the streets to demand climate action.,Schools around the world is going on strike and takes to the streets to demanding climate action.
97,97,"在医疗保健行业，如果凯萨医疗机构的 4,500 名服务业员工国际联合会本地 49分会会员在 10 月现有合同到期之前没有达成协议（只是通过新的临时协议暂时避开），则会批准罢工（批准率为 98％）。在该行业的其他领域，代表阿斯托里亚医院 120 多名护士的俄勒冈护士协会在与医院管理部门的合同谈判中陷入僵局，这些护士的最后一份合同已在 5 月到期，时间非常紧迫。","In the healthcare industry, if the 4,500 service employees of the Kaiser Permanente institution, members of the SEIU Local 49, don't reach an agreement before the existing contractexpires in October (just temporarily bypassing it with a new interim agreement), a strike will be approved (with a 98% approval rate). In other areas of the industry, the Oregon Nurses Association representing over 120 nurses at Astoria Hospital is at an impasse in contract negotiations with the hospital administration, and the nurses' last contract expired in May, making time very tight.","In the healthcare industry, if the 4,500 service employees of the Kaiser Permanente institution, members of the SEIU Local 49, doesn't reach an agreement before the existing contract expire in October (just temporary bypassing it with a new interim agreement), a strike will be approved (with a 98% approval rate). In other areas of the industry, the Oregon Nurses Association representing over 120 nurses at Astoria Hospital are at an impasse in contract negotiations with the hospital administration, and the nurses' last contract expires in May, making time very tight."
98,98,“现在我们已经拍完了大结局，我可以告诉你了，”科尔仕回答道。,"Now that we've finished shooting the final episode, I can tell you, Corrigan replied.","Now that we finished shoot the final episode, I can tells you, Corrigan replies."
99,99,社交媒体巨头没有证实测试将持续多久。,The social media giant has not confirmed how long the test will continue.,The social media giant have not confirmed how long the test will continues.
100,100,与此同时，向另外两名同样被指控骚扰的学生发出最后警告，并要求他们做出道歉。,"At the same time, final warnings have been issued to two other students accused of harassment, urging them to make apologies.","At the same time, final warnings has been issued to two other student accused of harassments, urging them to make apology."
101,101,南希·佩洛西成女儿克莉丝汀·佩洛西新书主角,"Nancy Pelosi's daughter, Christine Pelosi, becomes the protagonist of a new book.","Nancy Pelosi's daughter, Christine Pelosi, become the protagonist of a new book."
102,102,白宫星期三公布了这一通话记录的非保密版本。这份备忘录“并非逐字记录”，而是来自相关人员对通话的“记录和回忆”，显示特朗普寻求协助调查拜登一家。,"The White House released the non-classified version of the call record on Wednesday. This memorandum is ""not a verbatim transcript"" but is derived from personnel's ""notes and recollections"" of the call, revealing Trump seeking assistance to investigate the Biden family.","The White House releases the non-classified version of the call record on Wednesday. This memorandum are ""not a verbatim transcript"" but are derived from personnel's ""notes and recollections"" of the call, revealing Trump seeks assistance to investigate the Biden family."
103,103,该讨论还处于非常初步的阶段- 即使成功- 协议也要等到养老保护基金对托马斯·库克方案进行评估后才能达成。,"The discussion is still in a very preliminary stage - even if successful, an agreement would be contingent on the evaluation of the Thomas Cook scheme by the pension protection fund.","The discussions are still in a very preliminary stages - even if successful, an agreements would be contingents on the evaluations of the Thomas Cook schemes by the pension protection funds."
104,104,委员会负责人珍妮·马拉表示：“苏格兰养狗法与目的不切合。针对儿童的狗袭击事件仍然有很多，但是可能阻止这些袭击的现行法律却几乎从未被执行或被人了解。,"Committee head Jenny Mara stated, ""The Scottish Dog Control Law does not align with its purpose. There are still many dog attacks against children, but the existing laws that could prevent these attacks have rarely been enforced or understood.""","Committee head Jenny Mara stated, ""The Scottish Dog Control Law does not aligns with its purpose. There is still many dog attacks against children, but the existing laws that could prevent this attacks has rarely been enforced or understood."""
105,105,“我向你们发誓，我们会回来的，我们不会让你们购买的票落空。我爱你们，很抱歉让你们失望。”,"I swear to you, we will come back, and we will not let the tickets you purchased go to waste. I love you all, and I'm sorry to have disappointed you.","I sweared to you, we will came back, and we will not lets the tickets you purchased goes to waste. I loves you all, and I'm sorry to have disappoints you."
106,106,天文学家在观察凌日系外行星探测卫星之前，使用了一个全球网络望远镜来探测这一现象，为寻找遥远的行星而设计的凌日系外行星探测卫星的连续观察区捕捉到了此次暴力事件的开始阶段。,"Astronomers, prior to observing the Transiting Exoplanet Survey Satellite (TESS), used a global network of telescopes to detect this phenomenon. The continuous observation zone of the TESS, designed to search for distant planets, captured the initial phase of this violent event.","Astronomers, prior to observe the Transiting Exoplanet Survey Satellite (TESS), uses a global network of telescopes to detect this phenomena. The continuously observation zone of the TESS, designed to search for distant planet, captures the initial phase of these violent events."
107,107,一名北卡罗莱纳男子在同一次彩票抽奖中抽中五次，包括 163634 美元的头奖。,"A North Carolina man won five times in the same lottery draw, including the top prize of $163,634.","A North Carolina man win five times in the same lottery draw, including the top prize of $163,634."
108,108,2016 年，在卡尔加里一次家庭聚会上杀死 5 人的马修·德·格罗德被判决对自己的行为不负刑事责任。,"In 2016, Matthew de Grood, who killed five people at a family gathering in Calgary, was judged not criminally responsible for his actions.","In 2016, Matthew de Grood, who kills five people at a family gathering in Calgary, was judge not criminally responsible for his action."
109,109,他被指控勾结美军前情报分析师切尔西·曼宁。,He is accused of conspiring with former U.S. intelligence analyst Chelsea Manning.,He are accused of conspire with former U.S. intelligence analyst Chelsea Manning.
110,110,英雄时刻：警官冲上繁忙高速，救下被撞小狗,Heroic Moment: Police Officer Rushes onto Busy Highway to Rescue Struck Dog,Heroic Moment: Police Officer Rush onto Busy Highway to Rescue Struck Dog.
111,111,哈斯凯尔去斯塔家时伪装成联邦快递快递司机，而明显是去找他的前妻，即凯蒂·斯塔的姐姐。,"Haskell disguised himself as a Federal Express delivery driver when going to the Sta home, clearly to see his ex-wife, Katie Sta's sister.","Haskell disguise himself as a Federal Express delivery driver when goes to the Sta home, clearly to see his ex-wife, Katie Sta's sister."
112,112,美国全军自杀人数从 2017 年的 511 人增加至 2018 年的 541 人。据五角大楼称，危险系数最高的人群是年轻入伍者，至少有 60％ 的情况下，他们选择枪支作为自杀方式。陆军自杀人数从 114 增至 139，海军陆战队自杀人数从 43 增至 58，海军自杀人数从 65 增至 68。而空军从 63 下降至 60。,"The number of suicides in the entire U.S. military increased from 511 in 2017 to 541 in 2018. According to the Pentagon, the highest-risk group is young enlistees, with at least 60% choosing firearms as the method of suicide. Army suicides increased from 114 to 139, Marine Corps suicides from 43 to 58, Navy suicides from 65 to 68, while Air Force suicides decreased from 63 to 60.","The number of suicides in the entire U.S. military decreased from 511 in 2017 to 541 in 2018. According to the Pentagon, the highest-risk group are young enlistees, with at least 60% chooses firearms as the method of suicide. Army suicides decreased from 114 to 139, Marine Corps suicides increased from 43 to 58, Navy suicides decreased from 65 to 68, while Air Force suicides decreased from 63 to 60."
113,113,虽然女孩一再央求男子住手，但男子依然用手锁住了她的脖子，硬将她拖进灌木丛。,"Despite the girl repeatedly begging the man to stop, he still used his hands to grab her neck and forcefully dragged her into the bushes.","Despite the girl repeatedly begs the man to stop, he still uses his hands to grab her neck and forcefully drags her into the bushes."
114,114,星期四，萨克拉门托警方还发表声明说，其内部调查未发现两位警察有任何违反警局规定或训练要求的行为。,"On Thursday, the Sacramento police also issued a statement saying that their internal investigation found no violations of department policies or training requirements by the two officers.","On Thursday, the Sacramento police also issued a statement saying that their internal investigation find no violation of department policies or training requirements by the two officers."
115,115,穆罕默德王子正试图通过一项全面的自由化运动来改变这种状况，已为沙特阿拉伯带来了新的电影院、男女混合的音乐会和体育盛宴。,"Prince Mohammed is attempting to change this situation through a comprehensive liberalization movement, which has brought new cinemas, mixed-gender concerts, and sporting events to Saudi Arabia.","Prince Mohammed are attempting to change this situation through a comprehensive liberalization movement, which have brought new cinemas, mixed-gender concerts, and sporting events to Saudi Arabia."
116,116,设立新的奖项计划是为了表彰那些礼貌得体的政治人士。,The establishment of a new award program is to recognize those polite and well-mannered political figures.,The establishment of a new award program are to recognizes those polite and well-mannered political figure.
117,117,柬埔寨一家法院指控七名高级反对党领导人策划武装叛乱，他们计划结束自我流放，通过大规模和平抗议寻求政权更迭。,A Cambodian court has charged seven senior opposition leaders with plotting armed rebellion. They planned to end their self-imposed exile and seek a change of government through large-scale peaceful protests.,A Cambodian court have charged seven senior opposition leaders with plotted armed rebellion. They plan to end their self-imposed exile and seeks a change of government through large-scale peaceful protests.
118,118,“这不仅仅指伊朗的生产和出口，还有浮式储油设施中的数百万桶石油以及停留在中国港口等待海关处理的数百万桶石油，”基尔达夫说道。,"This refers not only to Iran's production and export but also to millions of barrels of oil in floating storage facilities and millions of barrels of oil waiting in Chinese ports for customs processing, Kilduff said.","This refer not only to Iran's production and export but also to millions of barrels of oil in float storage facilities and millions of barrel of oil wait in Chinese ports for customs process, Kilduff said."
119,119,英国政府监管机构表示，如果“无协议脱欧”，政府仍需要完成“大量”工作来保证本国有充足的医药供应。,"UK government regulatory agencies state that if there is a ""no-deal Brexit,"" the government still needs to complete ""a significant amount"" of work to ensure an adequate supply of medicines in the country.","UK government regulatory agencies states that if there are a ""no-deal Brexit,"" the government still need to complete ""a significant amount"" of works to ensure an adequate supply of medicines in the countries."
120,120,美国能源信息署在2018年12月发布的一份报告中表示，预计到今年年底，美国的液化天然气出口能力会翻一番，达到每日89亿立方英尺。这也会让美国成为继卡塔尔和澳大利亚之后的世界第三大液化天然气出口国。预计到2030年，美国液化天然气出口量将从2019年初的30亿立方英尺增涨到每日170亿立方英尺。,"In a report released by the U.S. Energy Information Administration in December 2018, it is stated that the liquefied natural gas export capacity of the United States is expected to double by the end of this year, reaching 8.9 billion cubic feet per day. This will make the United States the world's third-largest liquefied natural gas exporter, following Qatar and Australia. The forecast indicates that by 2030, the U.S. liquefied natural gas export volume will increase from 3 billion cubic feet at the beginning of 2019 to 17 billion cubic feet per day.","In a report releasing by the U.S. Energy Information Administration in December 2018, it are stated that the liquefied natural gas export capacity of the United States are expected to double by the end of this year, reaching 8.9 billion cubic feet per day. This will makes the United States the world's third-largest liquefied natural gas exporter, following Qatar and Australia. The forecast indicate that by 2030, the U.S. liquefied natural gas export volume will increases from 3 billion cubic feet at the beginning of 2019 to 17 billion cubic feet per day."
121,121,2018年，在举牌要求习近平下台之后，他通过互联网发出消息，称有警察冲进他家，勒令他写下悔过书和停止此类活动的保证书。,"In 2018, after holding up a sign demanding Xi Jinping's resignation, he posted a message on the internet, claiming that the police had rushed into his home, ordering him to write a letter of repentance and a pledge to cease such activities.","In 2018, after holded up a sign demanding Xi Jinping's resignation, he post a message on the internet, claims that the police have rushed into his home, order him to write a letter of repentance and a pledge to ceases such activities."
122,122,但是，卫生官员警告称，在检测之前15分钟内严禁饮食。,"However, health officials warn that eating or drinking is strictly prohibited within the 15 minutes before the test.","However, health officials warns that eats or drinks are strictly prohibited within the 15 minutes before the tests."
123,123,黑洞强大的引力将恒星撕裂，恒星的一些物质被抛入太空，其余物质被吸入黑洞，在吞噬过程中形成一团炽热明亮的气体。,"The powerful gravity of a black hole tears apart stars, with some of the star's material being ejected into space, while the remaining material is pulled into the black hole, forming a hot and bright gas cloud during the consumption process.","The power gravity of a black hole tear apart stars, with some of the star's material being eject into space, while the remaining material are pulled into the black holes, form a hot and bright gas cloud during the consumption process."
124,124,与此同时，英国议会商业委员会已对托马斯库克展开破产调查，力图质询管理层关于高管薪酬和会计政策方面的问题。,"Meanwhile, the UK Parliamentary Business Committee has initiated a bankruptcy investigation into Thomas Cook, aiming to question the management about issues related to executive compensation and accounting policies.","Meanwhile, the UK Parliamentary Business Committee have initiated a bankruptcy investigation into Thomas Cook, aiming to questions the management about issues related to executive compensations and accounting policy."
125,125,哥伦比亚艺术家奥斯卡·穆里略的作品《激增（社会性白内障）》描绘了人们凝视北海的情景，但他们眺望北海和对岸欧洲大陆的视野被一块黑色帆布遮住了，透过画布上的一条斜线，只露出了远处的一小部分。,"The artwork ""Surge (Social Cataracts)"" by Colombian artist Oscar Murillo depicts people gazing at the North Sea, but their view of the North Sea and the European continent on the opposite shore is obstructed by a black canvas. Through a diagonal line on the canvas, only a small part in the distance is revealed.","The artwork ""Surge (Social Cataracts)"" by Colombian artist Oscar Murillo depict people gazing at the North Sea, but their view of the North Sea and the European continent on the opposite shore are obstructed by a black canvases. Through a diagonal lines on the canvases, only a small parts in the distance are revealed."
126,126,"州立大学工作人员怨声载道，最主要的是集中在工资低、工作中缺乏尊严这两方面。单看薪酬差距就令人瞠目结舌。这些工作人员中大约有一半的年收入低于40,000美元（数百人的年收入低于25,000美元）。而与此同时，大学校长的平均年薪为50万美元，四名大学体育教练的年薪稍微低一点，共为100万美元。虽然学校管理人员的薪水为六位数，但总体行政支出仍在高涨，六分之一的机密工作人员有资格获得食品券。","Staff at state universities are voicing complaints, primarily focusing on low wages and a lack of dignity in their work. The salary gap alone is staggering. Approximately half of these staff members earn less than $40,000 annually (with hundreds earning less than $25,000). Meanwhile, the average annual salary for university presidents is $500,000, and the combined annual salaries for four university sports coaches are slightly lower at $1 million. Although the salaries for school administrators are in the six-figure range, overall administrative expenses are still soaring, and one-sixth of classified staff are eligible for food vouchers.","Staff at state universities is voicing complaints, primarily focus on low wages and lack of dignity in their work. The salary gap alone are staggering. Approximately half of these staff members earn less than $40,000 annually (with hundreds earn less than $25,000). Meanwhile, the average annual salary for university presidents are $500,000, and the combined annual salaries for four university sports coaches is slightly lower at $1 million. Although the salaries for school administrators is in the six-figure range, overall administrative expenses is still soaring, and one-sixth of classified staff is eligible for food vouchers."
